fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	ganancia_prom	iteracion
20221002 031246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	807299	0.196563862916897	0.273954445999116	139	597	6262	23800000	23800000	31
20221002 031431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	120	TRUE	962041	0.196563862916897	0.273954445999116	139	597	6262	24360000	24080000	32
20221002 031553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	705689	0.196563862916897	0.273954445999116	139	597	6262	23640000	23933333.3333333	33
20221002 031739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	909463	0.196563862916897	0.273954445999116	139	597	6262	25400000	24300000	34
20221002 031919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	637597	0.196563862916897	0.273954445999116	139	597	6262	23640000	24168000	35
20221002 032146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	440	TRUE	807299	0.0170419351102319	0.872806178992614	5139	300	11670	25780000	25780000	36
20221002 032520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	817	TRUE	962041	0.0170419351102319	0.872806178992614	5139	300	11670	25940000	25860000	37
20221002 032804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	508	TRUE	705689	0.0170419351102319	0.872806178992614	5139	300	11670	25860000	25860000	38
20221002 033237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1116	TRUE	909463	0.0170419351102319	0.872806178992614	5139	300	11670	25860000	25860000	39
20221002 033418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	195	TRUE	637597	0.0170419351102319	0.872806178992614	5139	300	11670	25060000	25700000	40
20221002 033604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	274	TRUE	807299	0.0421751978814718	0.210650037592277	1375	319	8353	26660000	26660000	41
20221002 033719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	962041	0.0421751978814718	0.210650037592277	1375	319	8353	27220000	26940000	42
20221002 033826	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	705689	0.0421751978814718	0.210650037592277	1375	319	8353	26980000	26953333.3333333	43
20221002 033922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	909463	0.0421751978814718	0.210650037592277	1375	319	8353	26340000	26800000	44
20221002 034019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	637597	0.0421751978814718	0.210650037592277	1375	319	8353	26820000	26804000	45
20221002 034052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	807299	0.230816495650797	0.587548887068406	4011	390	7130	25340000	25340000	46
20221002 034126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	962041	0.230816495650797	0.587548887068406	4011	390	7130	25500000	25420000	47
20221002 034206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	705689	0.230816495650797	0.587548887068406	4011	390	7130	24860000	25233333.3333333	48
20221002 034232	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	909463	0.230816495650797	0.587548887068406	4011	390	7130	25260000	25240000	49
20221002 034300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	637597	0.230816495650797	0.587548887068406	4011	390	7130	24540000	25100000	50
20221002 034326	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	807299	0.174796056090912	0.781554244142026	3525	1016	14499	23330000	23330000	51
20221002 034349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	962041	0.174796056090912	0.781554244142026	3525	1016	14499	23570000	23450000	52
20221002 034419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	705689	0.174796056090912	0.781554244142026	3525	1016	14499	23170000	23356666.6666667	53
20221002 034451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	909463	0.174796056090912	0.781554244142026	3525	1016	14499	23090000	23290000	54
20221002 034521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	637597	0.174796056090912	0.781554244142026	3525	1016	14499	22850000	23202000	55
20221002 034800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	278	TRUE	807299	0.0297211868779268	0.539397476334125	1166	680	14711	23700000	23700000	56
20221002 035214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	566	TRUE	962041	0.0297211868779268	0.539397476334125	1166	680	14711	23300000	23500000	57
20221002 035512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	329	TRUE	705689	0.0297211868779268	0.539397476334125	1166	680	14711	23940000	23646666.6666667	58
20221002 035736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	222	TRUE	909463	0.0297211868779268	0.539397476334125	1166	680	14711	23220000	23540000	59
20221002 035949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	637597	0.0297211868779268	0.539397476334125	1166	680	14711	23860000	23604000	60
20221002 040042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	807299	0.139834028364567	0.333971317131072	7726	177	12659	25250000	25250000	61
20221002 040118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	962041	0.139834028364567	0.333971317131072	7726	177	12659	24610000	24930000	62
20221002 040201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	705689	0.139834028364567	0.333971317131072	7726	177	12659	24850000	24903333.3333333	63
20221002 040259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	203	TRUE	909463	0.139834028364567	0.333971317131072	7726	177	12659	25410000	25030000	64
20221002 040337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	637597	0.139834028364567	0.333971317131072	7726	177	12659	24770000	24978000	65
20221002 040419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	807299	0.0507365962683689	0.702162578245625	6991	96	5575	24290000	24290000	66
20221002 040506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	962041	0.0507365962683689	0.702162578245625	6991	96	5575	24210000	24250000	67
