Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.13650242264401	0.0239055056751549	0.0163709390411307
n_n_Total_Ingresos_rnk	0.0623518908525691	0.0110400032727018	0.00864304235090752
n_mpayroll_sobre_edad	0.0404332346100491	0.0441230891539757	0.013828867761452
n_mpasivos_margen_rnk	0.0399417905391206	0.0100136055462346	0.0121511007168641
n_mcaja_ahorro_rnk	0.0374507731009253	0.00989347770911561	0.0113884793329605
cpayroll_trx	0.0300516493069595	0.0270211917142259	0.00874472520209467
n_n_Saldo_antes_pagos_rnk	0.0254459276255934	0.0245735506091602	0.0163709390411307
n_mtarjeta_visa_consumo_rnk	0.0253659765267186	0.0152589404359477	0.0102699679699019
n_mcuentas_saldo_rnk	0.0238177796089103	0.0112566923940827	0.0126086735472063
n_mprestamos_personales_rnk	0.0200494613478204	0.0144958692729398	0.0109817479282119
n_n_mprestamos_rnk	0.0195662246015325	0.0142114139205041	0.0122019421424577
n_mrentabilidad_annual_rnk	0.0172974854878036	0.0288187429249836	0.022776958665921
n_n_mtotal_ganacia_banco_rnk	0.0161342434482409	0.0170848616307948	0.0215059230260817
n_n_mpayroll_rnk	0.0134521663601389	0.0154932181063379	0.00671106817835172
n_mv_mpagominimo_rnk	0.0131885193613197	0.00886254691339905	0.0105241750978697
Visa_status	0.0128694758693645	0.0159396953871791	0.00904977375565611
n_mv_msaldototal_rnk	0.0112223264274562	0.0119919132688131	0.00828715237175251
Visa_fechaalta	0.0109386756443857	0.0182412448926857	0.0183537546392801
n_mcuentas_saldo_por_com	0.0105714148307219	0.00318414920323768	0.013117087803142
n_mv_msaldopesos_rnk	0.00927668968657491	0.00174570479447234	0.00401647262189232
Master_status	0.00921965433116691	0.0100835316691318	0.00508414255935736
active_quarter	0.009218815714289	0.000581650762317604	0.00127103563983934
Master_Fvencimiento	0.00903469664525499	0.00362300077414549	0.0164726218923179
cdescubierto_preacordado	0.00874334943888739	0.0178518470345131	0.00915145660684326
n_mcomisiones_mantenimiento_rnk	0.00860171006043227	0.0202711121474453	0.012405307844832
n_mautoservicio_rnk	0.00857826427699806	0.0138638095188801	0.00828715237175251
n_mcuenta_corriente_rnk	0.00827779225353333	0.0098203733309064	0.0147948548477299
n_mrentabilidad_rnk	0.00811151223484817	0.00669009825882707	0.0105241750978697
n_n_dif_saldo_y_tranf_emitidas_rnk	0.00804568934643237	0.0129530501186019	0.0121002592912705
ctarjeta_visa_transacciones	0.00795270542225002	0.00554010304979161	0.00833799379734608
ccajas_consultas	0.0077725189044313	0.0127519038072251	0.00843967664853323
cliente_edad	0.00755255221236148	0.00368060289664807	0.0155574762316335
n_mpayroll_rnk	0.00733179252880303	0.00797456400818297	0.00671106817835172
Master_fechaalta	0.00731207527703739	0.0178883504082597	0.0156591590828207
numero_de_cliente	0.00684713369193399	0.00212192851401463	0.0139813920382328
ccaja_seguridad	0.00627080232929497	0.0265688085260658	0.00996491941634043
Visa_Fvencimiento	0.00627072077839637	0.00125559709760884	0.0122527835680512
n_n_munitario_prestamos_personales_rnk	0.00620095820180327	0.00132465355612719	0.00416899689867304
ccomisiones_otras	0.00603914395107774	0.0104508845116076	0.0126086735472063
n_edad_de_alta	0.00601682855221741	0.00185541618518827	0.0137271849102649
cprestamos_personales	0.00597542517326089	0.015885226459658	0.00671106817835172
ccallcenter_transacciones	0.00594338487534686	0.0192960862017821	0.0129645635263613
n_mactivos_margen_rnk	0.00590408658681719	0.0106470997208155	0.0121511007168641
n_n_munitario_prestamos_personales_nonull_rnk	0.00580910924004168	0.0203367485268779	0.00706695815750674
cliente_antiguedad	0.00544215097974999	0.00329455902907653	0.0128120392495806
ccomisiones_mantenimiento	0.0054189359754962	0.0141338065132659	0.00645686105038385
chomebanking_transacciones	0.00537591827121713	0.00488517067196479	0.0101174436931212
Visa_cconsumos	0.00520902582603056	0.00259770251974274	0.0108800650770248
ctarjeta_debito_transacciones	0.00501233880117934	0.00131437229071571	0.00615181249682241
n_mcuenta_debitos_automaticos_rnk	0.00491487174651718	0.0109361256927759	0.00910061518124968
n_mcomisiones_otras_rnk	0.004839599784955	0.00334537806982626	0.00706695815750674
n_antig_segun_edad	0.00473267131411546	0.00261262349718578	0.00940566373481112
n_tarjetas_cierre_tot	0.00471311633873	0.00308985745762243	0.00198281559814937
